nsim,gamma,MSE_hat,se_MSE
50,0.1,0.11445406354813453,0.004740959075092201
50,0.10476157527896648,0.1174427368495401,0.005390676477669964
50,0.10974987654930562,0.12010782477957725,0.005472904672320355
50,0.11497569953977356,0.1328165211689386,0.006937339179166535
50,0.12045035402587821,0.14235641913553798,0.007287503376811944
50,0.12618568830660204,0.15374638685125266,0.007136444669009148
50,0.1321941148466029,0.14937065334495372,0.007243457821735356
50,0.1384886371393873,0.15465046839535437,0.005575027989338061
50,0.14508287784959398,0.1738992372095115,0.006306826382567945
50,0.1519911082952934,0.17296377923083786,0.006987989839363634
50,0.1592282793341092,0.17899318899139502,0.007277429030716681
50,0.16681005372000587,0.18863997302511265,0.007657000952693316
50,0.17475284000076838,0.19779185274544187,0.007568404219400365
50,0.18307382802953684,0.21191426681950148,0.006850532087532469
50,0.19179102616724888,0.24115985911989918,0.008599867813475368
50,0.20092330025650468,0.24893230738330868,0.008932220830456677
50,0.2104904144512021,0.27251938289436767,0.008436784606638782
50,0.22051307399030456,0.27853845131018246,0.008781034934992321
50,0.23101297000831597,0.29430966707733386,0.008788569569819677
50,0.24201282647943823,0.30774995011694617,0.00831447388460892
50,0.2535364493970112,0.33914871748837067,0.010197499555184997
50,0.26560877829466867,0.3555193728201249,0.012781021613098723
50,0.2782559402207124,0.3701263177442571,0.011761084639902306
50,0.29150530628251775,0.3993546724841371,0.012456682275748147
50,0.30538555088334157,0.46110253892691877,0.01257693175842903
50,0.31992671377973836,0.49306797940060226,0.015981473004050728
50,0.33516026509388425,0.4883748740081126,0.015571072526539689
50,0.35111917342151316,0.5512498885512237,0.015971766106631435
50,0.36783797718286343,0.5670825658581221,0.017287595537679015
50,0.38535285937105296,0.6262617285352251,0.017739416993045556
50,0.40370172585965547,0.6953272920902885,0.021100083769349035
50,0.4229242874389499,0.7153653259579756,0.019484589042441592
50,0.4430621457583881,0.7595122554127925,0.018406569529510787
50,0.464158883361278,0.84617057068899,0.02352214548871001
50,0.4862601580065355,0.9954759462769031,0.02463620466496849
50,0.5094138014816381,1.0255962216396781,0.03278547102769935
50,0.533669923120631,1.1986661535183794,0.038026194752787006
50,0.5590810182512224,1.2486688914678756,0.03200098651666032
50,0.5857020818056667,1.4730438119023066,0.0399014430106054
50,0.6135907273413174,1.552801935251494,0.04613572176558296
50,0.6428073117284322,1.8140965360061783,0.04928716261978726
50,0.6734150657750824,2.204610464716774,0.06535496741863922
50,0.7054802310718644,2.504800488058928,0.07919584630111472
50,0.739072203352578,2.791802915007945,0.08865533125301088
50,0.7742636826811272,3.109899145719597,0.10808349489643725
50,0.8111308307896873,4.757496319953981,0.17461798598251566
50,0.8497534359086445,5.317983577729588,0.20463669647675667
50,0.8902150854450388,8.628083772162263,0.5848888333943293
50,0.9326033468832199,14.830507490660189,0.8752540497725163
50,0.9770099572992254,44.78305827036125,3.5807065042186985
50,1.0235310218990263,63.86749240565076,4.85212820124947
50,1.0722672220103238,15.845388487686469,0.8588728752870952
50,1.1233240329780276,8.56055680906906,0.34618964789991835
50,1.1768119524349985,6.798379418755012,0.20821354723857333
50,1.2328467394420666,5.202951960787555,0.1301415358939462
50,1.291549665014884,4.699381621650689,0.09698384413099825
50,1.3530477745798075,4.170949080675464,0.0819875864833483
50,1.4174741629268055,3.9570130374791805,0.07471847999252886
50,1.484968262254465,3.742558143757948,0.05837175288751355
50,1.5556761439304723,3.5863788019893366,0.04777072751345103
50,1.6297508346206444,3.5537620786994775,0.04569393504000111
50,1.7073526474706913,3.4528922535668944,0.04350649306761069
50,1.7886495290574351,3.534265925737435,0.03416809403284415
50,1.873817422860385,3.4782782114299353,0.039542556601367816
50,1.9630406500402715,3.561053073649826,0.03570089916463818
50,2.0565123083486516,3.460096527400738,0.028801116469134705
50,2.1544346900318843,3.524849220628009,0.026161158308408088
50,2.25701971963392,3.576481133014002,0.02733708578216896
50,2.3644894126454084,3.6551080155071616,0.026164561033971283
50,2.4770763559917115,3.672955979282893,0.031178000675601118
50,2.5950242113997373,3.689115481310676,0.02408881783897401
50,2.7185882427329413,3.721385883570396,0.024408753405086484
50,2.848035868435802,3.779981246390536,0.021351316912542547
50,2.9836472402833403,3.817692849014345,0.02086241926911874
50,3.1257158496882367,3.8713630909077508,0.022972748258021883
50,3.27454916287773,3.909515599733155,0.019740999209718026
50,3.4304692863149193,3.962209562488567,0.017941191116786544
50,3.5938136638046276,3.948408814789518,0.015956659488028255
50,3.764935806792469,4.0387035190261384,0.01492183923471197
50,3.944206059437656,4.035520063617951,0.01733352780997456
50,4.132012400115339,4.088981175084927,0.013421501389755144
50,4.328761281083059,4.130980384494027,0.013985248939826707
50,4.5348785081285845,4.179874343197413,0.016155160638980957
50,4.750810162102798,4.208330338598155,0.013944114032217058
50,4.977023564332112,4.2412564439351454,0.012457695055098784
50,5.214008287999687,4.264721311207469,0.012970855753160305
