method,n,ar,df,rho,SNR,rep,mse
quantile,200,0.2,15.0,0.2,10,8,0.014180594457501616
huber,200,0.2,15.0,0.2,10,8,0.009050549320723661
linear,200,0.2,15.0,0.2,10,9,0.004752730482608654
quantile,200,0.2,15.0,0.2,10,9,0.005739430449900507
huber,200,0.2,15.0,0.2,10,9,0.004301322862845086
linear,200,0.2,15.0,0.2,10,10,0.006730225160370929
quantile,200,0.2,15.0,0.2,10,10,0.008451637628721798
huber,200,0.2,15.0,0.2,10,10,0.007948755594204018
linear,200,0.2,15.0,0.2,10,11,0.009774670589497039
quantile,200,0.2,15.0,0.2,10,11,0.015085216510902957
huber,200,0.2,15.0,0.2,10,11,0.011159246502104644
linear,200,0.2,15.0,0.2,10,12,0.009847759119419689
quantile,200,0.2,15.0,0.2,10,12,0.014840473811999466
huber,200,0.2,15.0,0.2,10,12,0.010841483687671951
linear,200,0.2,15.0,0.2,10,13,0.011254514613187213
quantile,200,0.2,15.0,0.2,10,13,0.020392405540060245
huber,200,0.2,15.0,0.2,10,13,0.013311215245786528
linear,200,0.2,15.0,0.2,10,14,0.008211382722544234
quantile,200,0.2,15.0,0.2,10,14,0.01035755921402435
huber,200,0.2,15.0,0.2,10,14,0.010170449576505269
linear,200,0.2,15.0,0.2,10,15,0.005989890926462044
quantile,200,0.2,15.0,0.2,10,15,0.006290886682017679
huber,200,0.2,15.0,0.2,10,15,0.005665107474097616
linear,200,0.2,15.0,0.2,10,16,0.004504720254326904
quantile,200,0.2,15.0,0.2,10,16,0.004975796464178471
huber,200,0.2,15.0,0.2,10,16,0.004312114559139777
linear,200,0.2,15.0,0.2,10,17,0.004749916539128636
quantile,200,0.2,15.0,0.2,10,17,0.01008350965579579
huber,200,0.2,15.0,0.2,10,17,0.005843301541798313
linear,200,0.2,15.0,0.2,10,18,0.008101863169276738
quantile,200,0.2,15.0,0.2,10,18,0.010857393726203556
huber,200,0.2,15.0,0.2,10,18,0.007859285764835838
linear,200,0.2,15.0,0.2,10,19,0.004642965637035149
quantile,200,0.2,15.0,0.2,10,19,0.006729653249221701
huber,200,0.2,15.0,0.2,10,19,0.004952442198177609
linear,200,0.2,15.0,0.2,10,20,0.007416021101185588
quantile,200,0.2,15.0,0.2,10,20,0.009605873704776979
huber,200,0.2,15.0,0.2,10,20,0.008793568264342785
linear,200,0.2,15.0,0.2,10,21,0.006914253405294733
quantile,200,0.2,15.0,0.2,10,21,0.011295738553277566
huber,200,0.2,15.0,0.2,10,21,0.008206156160213996
linear,200,0.2,15.0,0.2,10,22,0.004843643771984078
quantile,200,0.2,15.0,0.2,10,22,0.006648472569006099
huber,200,0.2,15.0,0.2,10,22,0.004316248623471722
linear,200,0.2,15.0,0.2,10,23,0.005206910712149842
quantile,200,0.2,15.0,0.2,10,23,0.006006766951457117
huber,200,0.2,15.0,0.2,10,23,0.004534307680462814
linear,200,0.2,15.0,0.2,10,24,0.012080359272430943
quantile,200,0.2,15.0,0.2,10,24,0.016203321440388614
huber,200,0.2,15.0,0.2,10,24,0.013799054377722228
linear,200,0.2,15.0,0.2,10,25,0.008516717262302478
quantile,200,0.2,15.0,0.2,10,25,0.00987619772186589
huber,200,0.2,15.0,0.2,10,25,0.00804929577725948
linear,200,0.2,15.0,0.2,10,26,0.006044931038047522
quantile,200,0.2,15.0,0.2,10,26,0.007659794110559129
huber,200,0.2,15.0,0.2,10,26,0.006014836826642769
linear,200,0.2,15.0,0.2,10,27,0.005152904615149553
quantile,200,0.2,15.0,0.2,10,27,0.008269196548079132
huber,200,0.2,15.0,0.2,10,27,0.006466582446511704
linear,200,0.2,15.0,0.2,10,28,0.006770879327967404
quantile,200,0.2,15.0,0.2,10,28,0.009963924201826528
huber,200,0.2,15.0,0.2,10,28,0.007544693804113203
linear,200,0.2,15.0,0.2,10,29,0.00795711471438971
quantile,200,0.2,15.0,0.2,10,29,0.007425789861832595
huber,200,0.2,15.0,0.2,10,29,0.006486494759737442
linear,200,0.2,20.0,0.2,1,0,0.005600035859673816
quantile,200,0.2,20.0,0.2,1,0,0.00952299969062606
huber,200,0.2,20.0,0.2,1,0,0.0074598801245173195
linear,200,0.2,20.0,0.2,1,1,0.006767635638331625
quantile,200,0.2,20.0,0.2,1,1,0.010994649348671979
huber,200,0.2,20.0,0.2,1,1,0.008027899269088446
linear,200,0.2,20.0,0.2,1,2,0.005154978444445351
quantile,200,0.2,20.0,0.2,1,2,0.007849267322064396
huber,200,0.2,20.0,0.2,1,2,0.004923447317403601
linear,200,0.2,20.0,0.2,1,3,0.005973509920099935
quantile,200,0.2,20.0,0.2,1,3,0.009465157361998022
huber,200,0.2,20.0,0.2,1,3,0.007563613046443721
linear,200,0.2,20.0,0.2,1,4,0.007961154542232233
quantile,200,0.2,20.0,0.2,1,4,0.009037392527615883
huber,200,0.2,20.0,0.2,1,4,0.007149353815370743
linear,200,0.2,20.0,0.2,1,5,0.005931773025082035
quantile,200,0.2,20.0,0.2,1,5,0.010096914095598274
huber,200,0.2,20.0,0.2,1,5,0.008112971476654032
linear,200,0.2,20.0,0.2,1,6,0.006801268677951326
quantile,200,0.2,20.0,0.2,1,6,0.012038603430047016
huber,200,0.2,20.0,0.2,1,6,0.006359889302636953
linear,200,0.2,20.0,0.2,1,7,0.007146946855742908
quantile,200,0.2,20.0,0.2,1,7,0.00994712587391947
huber,200,0.2,20.0,0.2,1,7,0.006288574307514813
linear,200,0.2,20.0,0.2,1,8,0.005483991227483928
quantile,200,0.2,20.0,0.2,1,8,0.008626573662884435
huber,200,0.2,20.0,0.2,1,8,0.006610712940792579
linear,200,0.2,20.0,0.2,1,9,0.009279049722364797
quantile,200,0.2,20.0,0.2,1,9,0.017187468866795272
huber,200,0.2,20.0,0.2,1,9,0.01159673040997001
linear,200,0.2,20.0,0.2,1,10,0.007831480160921852
quantile,200,0.2,20.0,0.2,1,10,0.008236747364632879
huber,200,0.2,20.0,0.2,1,10,0.008451469747322391
linear,200,0.2,20.0,0.2,1,11,0.008399242039352335
quantile,200,0.2,20.0,0.2,1,11,0.011793651851836895
huber,200,0.2,20.0,0.2,1,11,0.00926574422285278
linear,200,0.2,20.0,0.2,1,12,0.0052521400572464625
quantile,200,0.2,20.0,0.2,1,12,0.008768864342410332
huber,200,0.2,20.0,0.2,1,12,0.005822216047620227
linear,200,0.2,20.0,0.2,1,13,0.00692292172560025
quantile,200,0.2,20.0,0.2,1,13,0.013977534806720582
huber,200,0.2,20.0,0.2,1,13,0.00852864300196533
linear,200,0.2,20.0,0.2,1,14,0.004984495470619759
quantile,200,0.2,20.0,0.2,1,14,0.008864205228443566
huber,200,0.2,20.0,0.2,1,14,0.007191376769771359
linear,200,0.2,20.0,0.2,1,15,0.009394540407353803
quantile,200,0.2,20.0,0.2,1,15,0.01357421356998803
huber,200,0.2,20.0,0.2,1,15,0.010094291579715458
linear,200,0.2,20.0,0.2,1,16,0.005620057062489108
quantile,200,0.2,20.0,0.2,1,16,0.008665781016510285
huber,200,0.2,20.0,0.2,1,16,0.005552546154148926
linear,200,0.2,20.0,0.2,1,17,0.006677822026707063
quantile,200,0.2,20.0,0.2,1,17,0.010216914621644738
huber,200,0.2,20.0,0.2,1,17,0.007130391626580228
linear,200,0.2,20.0,0.2,1,18,0.010570400791400966
quantile,200,0.2,20.0,0.2,1,18,0.013122582551419659
huber,200,0.2,20.0,0.2,1,18,0.010472362117330972
linear,200,0.2,20.0,0.2,1,19,0.007561277014377382
quantile,200,0.2,20.0,0.2,1,19,0.008720338052751743
huber,200,0.2,20.0,0.2,1,19,0.007387558432666308
linear,200,0.2,20.0,0.2,1,20,0.006372089976488593
quantile,200,0.2,20.0,0.2,1,20,0.01487350544018821
huber,200,0.2,20.0,0.2,1,20,0.009944157303944767
linear,200,0.2,20.0,0.2,1,21,0.007886158188325226
quantile,200,0.2,20.0,0.2,1,21,0.008805022073311472
huber,200,0.2,20.0,0.2,1,21,0.0062738404201072104
linear,200,0.2,20.0,0.2,1,22,0.007181162512701293
quantile,200,0.2,20.0,0.2,1,22,0.012161810734131178
huber,200,0.2,20.0,0.2,1,22,0.009029751135516097
linear,200,0.2,20.0,0.2,1,23,0.005728958123660664
quantile,200,0.2,20.0,0.2,1,23,0.011820884301911121
huber,200,0.2,20.0,0.2,1,23,0.009101664982219773
linear,200,0.2,20.0,0.2,1,24,0.006057250485621516
quantile,200,0.2,20.0,0.2,1,24,0.01017081375198706
huber,200,0.2,20.0,0.2,1,24,0.006176338106598992
linear,200,0.2,20.0,0.2,1,25,0.005738599470571505
quantile,200,0.2,20.0,0.2,1,25,0.0077421773657628205
huber,200,0.2,20.0,0.2,1,25,0.0065647983396139465
linear,200,0.2,20.0,0.2,1,26,0.006100669454085592
quantile,200,0.2,20.0,0.2,1,26,0.007445163272636539
huber,200,0.2,20.0,0.2,1,26,0.006227587289946066
linear,200,0.2,20.0,0.2,1,27,0.009470407283115009
quantile,200,0.2,20.0,0.2,1,27,0.010238258629442566
huber,200,0.2,20.0,0.2,1,27,0.008433049598477741
linear,200,0.2,20.0,0.2,1,28,0.008954878231307573
quantile,200,0.2,20.0,0.2,1,28,0.012556688751583325
huber,200,0.2,20.0,0.2,1,28,0.00861064154885691
linear,200,0.2,20.0,0.2,1,29,0.005085496008630118
quantile,200,0.2,20.0,0.2,1,29,0.01223733472302963
huber,200,0.2,20.0,0.2,1,29,0.006935050099375453
linear,200,0.2,20.0,0.2,5,0,0.004149358697538408
quantile,200,0.2,20.0,0.2,5,0,0.007503993827909299
huber,200,0.2,20.0,0.2,5,0,0.0055853383621003675
linear,200,0.2,20.0,0.2,5,1,0.00499301328642514
quantile,200,0.2,20.0,0.2,5,1,0.00887520262704017
huber,200,0.2,20.0,0.2,5,1,0.00576607444121687
linear,200,0.2,20.0,0.2,5,2,0.004893383231455309
quantile,200,0.2,20.0,0.2,5,2,0.007308094917954909
huber,200,0.2,20.0,0.2,5,2,0.005762283576298605
linear,200,0.2,20.0,0.2,5,3,0.00598624715353515
quantile,200,0.2,20.0,0.2,5,3,0.00948119257026114
huber,200,0.2,20.0,0.2,5,3,0.0057530454548612945
linear,200,0.2,20.0,0.2,5,4,0.009251233676283175
quantile,200,0.2,20.0,0.2,5,4,0.009136178804427082
huber,200,0.2,20.0,0.2,5,4,0.008662137769995295
linear,200,0.2,20.0,0.2,5,5,0.00832828342879976
quantile,200,0.2,20.0,0.2,5,5,0.009808989233727533
huber,200,0.2,20.0,0.2,5,5,0.007687258034353018
linear,200,0.2,20.0,0.2,5,6,0.006830462846473017
quantile,200,0.2,20.0,0.2,5,6,0.012526954069746288
huber,200,0.2,20.0,0.2,5,6,0.007975419941640185
linear,200,0.2,20.0,0.2,5,7,0.005438660663542665
quantile,200,0.2,20.0,0.2,5,7,0.008044032276053648
huber,200,0.2,20.0,0.2,5,7,0.006156342149899735
linear,200,0.2,20.0,0.2,5,8,0.00508097226945526
quantile,200,0.2,20.0,0.2,5,8,0.009307241181877266
huber,200,0.2,20.0,0.2,5,8,0.006226468803618201
linear,200,0.2,20.0,0.2,5,9,0.0045481092859485745
quantile,200,0.2,20.0,0.2,5,9,0.011026804023561886
huber,200,0.2,20.0,0.2,5,9,0.005431972924371463
linear,200,0.2,20.0,0.2,5,10,0.007695585778288996
quantile,200,0.2,20.0,0.2,5,10,0.008752395722104267
huber,200,0.2,20.0,0.2,5,10,0.007802134463875977
linear,200,0.2,20.0,0.2,5,11,0.006002898409956349
quantile,200,0.2,20.0,0.2,5,11,0.013426616448404627
huber,200,0.2,20.0,0.2,5,11,0.007429926379809515
linear,200,0.2,20.0,0.2,5,12,0.007469438459802693
quantile,200,0.2,20.0,0.2,5,12,0.007268565123757682
huber,200,0.2,20.0,0.2,5,12,0.006665202531493848
linear,200,0.2,20.0,0.2,5,13,0.008073584602723352
quantile,200,0.2,20.0,0.2,5,13,0.014143247427669542
huber,200,0.2,20.0,0.2,5,13,0.010082209881208682
linear,200,0.2,20.0,0.2,5,14,0.0074450696781314645
quantile,200,0.2,20.0,0.2,5,14,0.011642462338310924
huber,200,0.2,20.0,0.2,5,14,0.007591810919498077
linear,200,0.2,20.0,0.2,5,15,0.0068846619635984955
quantile,200,0.2,20.0,0.2,5,15,0.009199014333793942
huber,200,0.2,20.0,0.2,5,15,0.008674214262336341
linear,200,0.2,20.0,0.2,5,16,0.013484193827743829
quantile,200,0.2,20.0,0.2,5,16,0.016240116239149546
huber,200,0.2,20.0,0.2,5,16,0.014032440310200256
linear,200,0.2,20.0,0.2,5,17,0.004865313156336667
quantile,200,0.2,20.0,0.2,5,17,0.008393954695255704
huber,200,0.2,20.0,0.2,5,17,0.005825498301633358
linear,200,0.2,20.0,0.2,5,18,0.004576512663185841
quantile,200,0.2,20.0,0.2,5,18,0.009255510199557556
huber,200,0.2,20.0,0.2,5,18,0.007121769587501395
linear,200,0.2,20.0,0.2,5,19,0.008021472220999493
quantile,200,0.2,20.0,0.2,5,19,0.00956393630420019
huber,200,0.2,20.0,0.2,5,19,0.007351481130829732
linear,200,0.2,20.0,0.2,5,20,0.01208290946236067
quantile,200,0.2,20.0,0.2,5,20,0.020752203054613068
huber,200,0.2,20.0,0.2,5,20,0.01584387615001416
linear,200,0.2,20.0,0.2,5,21,0.006346465469459404
quantile,200,0.2,20.0,0.2,5,21,0.009627451957626865
huber,200,0.2,20.0,0.2,5,21,0.006230433705730189
linear,200,0.2,20.0,0.2,5,22,0.0069638868080696085
quantile,200,0.2,20.0,0.2,5,22,0.01125734262353675
huber,200,0.2,20.0,0.2,5,22,0.008215445711695583
linear,200,0.2,20.0,0.2,5,23,0.007093049806809559
quantile,200,0.2,20.0,0.2,5,23,0.009552105635584127
huber,200,0.2,20.0,0.2,5,23,0.007115823732663902
linear,200,0.2,20.0,0.2,5,24,0.004142540696293108
quantile,200,0.2,20.0,0.2,5,24,0.0077597559117177205
huber,200,0.2,20.0,0.2,5,24,0.004187322876519502
linear,200,0.2,20.0,0.2,5,25,0.007051627481052392
quantile,200,0.2,20.0,0.2,5,25,0.010581959515525366
huber,200,0.2,20.0,0.2,5,25,0.008180433459228732
linear,200,0.2,20.0,0.2,5,26,0.005679381427232877
quantile,200,0.2,20.0,0.2,5,26,0.008580479196108536
huber,200,0.2,20.0,0.2,5,26,0.005213152859460875
linear,200,0.2,20.0,0.2,5,27,0.007454141452431512
quantile,200,0.2,20.0,0.2,5,27,0.008347425291026675
huber,200,0.2,20.0,0.2,5,27,0.008379257188096473
linear,200,0.2,20.0,0.2,5,28,0.004837886693679627
quantile,200,0.2,20.0,0.2,5,28,0.00878331092538302
huber,200,0.2,20.0,0.2,5,28,0.006187034907634647
linear,200,0.2,20.0,0.2,5,29,0.006205087042666774
quantile,200,0.2,20.0,0.2,5,29,0.01295039056842645
huber,200,0.2,20.0,0.2,5,29,0.009219904572377858
linear,200,0.2,20.0,0.2,10,0,0.006437484085948117
quantile,200,0.2,20.0,0.2,10,0,0.009648821344289762
huber,200,0.2,20.0,0.2,10,0,0.006924039375664878
linear,200,0.2,20.0,0.2,10,1,0.009264874861988914
quantile,200,0.2,20.0,0.2,10,1,0.008403670497407444
huber,200,0.2,20.0,0.2,10,1,0.008851092427844797
linear,200,0.2,20.0,0.2,10,2,0.010078646847569282
quantile,200,0.2,20.0,0.2,10,2,0.013545182031444041
huber,200,0.2,20.0,0.2,10,2,0.00962275687884862
linear,200,0.2,20.0,0.2,10,3,0.008337424106006661
quantile,200,0.2,20.0,0.2,10,3,0.009667089268755993
huber,200,0.2,20.0,0.2,10,3,0.009027546393808289
linear,200,0.2,20.0,0.2,10,4,0.005006469124884066
quantile,200,0.2,20.0,0.2,10,4,0.007476533920702457
huber,200,0.2,20.0,0.2,10,4,0.0052938740709752566
linear,200,0.2,20.0,0.2,10,5,0.010059084073809654
quantile,200,0.2,20.0,0.2,10,5,0.010416430185893614
huber,200,0.2,20.0,0.2,10,5,0.010019048804409441
linear,200,0.2,20.0,0.2,10,6,0.007599537123314218
quantile,200,0.2,20.0,0.2,10,6,0.012841786772637554
huber,200,0.2,20.0,0.2,10,6,0.010486380935303873
linear,200,0.2,20.0,0.2,10,7,0.003935372432146566
quantile,200,0.2,20.0,0.2,10,7,0.006661982736170653
huber,200,0.2,20.0,0.2,10,7,0.005073966716200233
linear,200,0.2,20.0,0.2,10,8,0.009330527317878678
quantile,200,0.2,20.0,0.2,10,8,0.015386583821434614
huber,200,0.2,20.0,0.2,10,8,0.013523621771422124
linear,200,0.2,20.0,0.2,10,9,0.006145615733193607
quantile,200,0.2,20.0,0.2,10,9,0.011671777999771666
huber,200,0.2,20.0,0.2,10,9,0.00863323975905005
linear,200,0.2,20.0,0.2,10,10,0.007797785781278238
quantile,200,0.2,20.0,0.2,10,10,0.014113285844250645
huber,200,0.2,20.0,0.2,10,10,0.0102229200681813
linear,200,0.2,20.0,0.2,10,11,0.0044016592744289765
quantile,200,0.2,20.0,0.2,10,11,0.006224212503655584
huber,200,0.2,20.0,0.2,10,11,0.004681108655354245
linear,200,0.2,20.0,0.2,10,12,0.006207591899413989
quantile,200,0.2,20.0,0.2,10,12,0.00827850230691874
huber,200,0.2,20.0,0.2,10,12,0.006422146267583924
linear,200,0.2,20.0,0.2,10,13,0.009301718142081885
quantile,200,0.2,20.0,0.2,10,13,0.013528597815559687
huber,200,0.2,20.0,0.2,10,13,0.009680092991753408
linear,200,0.2,20.0,0.2,10,14,0.005255323883166882
quantile,200,0.2,20.0,0.2,10,14,0.00847412253542259
huber,200,0.2,20.0,0.2,10,14,0.006465670639803009
linear,200,0.2,20.0,0.2,10,15,0.007897432607793645
quantile,200,0.2,20.0,0.2,10,15,0.008963482492509937
huber,200,0.2,20.0,0.2,10,15,0.008718607181663904
linear,200,0.2,20.0,0.2,10,16,0.004864053357161604
quantile,200,0.2,20.0,0.2,10,16,0.008053044327145419
huber,200,0.2,20.0,0.2,10,16,0.005494827585558062
linear,200,0.2,20.0,0.2,10,17,0.0053682525269830115
quantile,200,0.2,20.0,0.2,10,17,0.008472248375293968
huber,200,0.2,20.0,0.2,10,17,0.006681388647728137
linear,200,0.2,20.0,0.2,10,18,0.00481143384088233
quantile,200,0.2,20.0,0.2,10,18,0.00663025511670647
huber,200,0.2,20.0,0.2,10,18,0.004622647137462906
linear,200,0.2,20.0,0.2,10,19,0.010324305765474093
quantile,200,0.2,20.0,0.2,10,19,0.012801147666342178
huber,200,0.2,20.0,0.2,10,19,0.011658836303006615
linear,200,0.2,20.0,0.2,10,20,0.00436670359155607
quantile,200,0.2,20.0,0.2,10,20,0.006790874570472108
huber,200,0.2,20.0,0.2,10,20,0.004948958424141172
linear,200,0.2,20.0,0.2,10,21,0.008177719237653001
quantile,200,0.2,20.0,0.2,10,21,0.008521398891471731
huber,200,0.2,20.0,0.2,10,21,0.009019717087457116
linear,200,0.2,20.0,0.2,10,22,0.0052456784913647745
quantile,200,0.2,20.0,0.2,10,22,0.006294276446444477
huber,200,0.2,20.0,0.2,10,22,0.005097119583268727
linear,200,0.2,20.0,0.2,10,23,0.004831821862283069
quantile,200,0.2,20.0,0.2,10,23,0.009174554937551607
huber,200,0.2,20.0,0.2,10,23,0.0053920282877862125
linear,200,0.2,20.0,0.2,10,24,0.006586423762811211
quantile,200,0.2,20.0,0.2,10,24,0.008013154061425293
huber,200,0.2,20.0,0.2,10,24,0.005881877534593869
linear,200,0.2,20.0,0.2,10,25,0.007534039556453959
quantile,200,0.2,20.0,0.2,10,25,0.009039029547550096
huber,200,0.2,20.0,0.2,10,25,0.006403696592945041
linear,200,0.2,20.0,0.2,10,26,0.008394703956683614
quantile,200,0.2,20.0,0.2,10,26,0.00995380657393032
huber,200,0.2,20.0,0.2,10,26,0.010611937527257993
linear,200,0.2,20.0,0.2,10,27,0.006146981970704219
quantile,200,0.2,20.0,0.2,10,27,0.01160688983212831
huber,200,0.2,20.0,0.2,10,27,0.007923550002093282
linear,200,0.2,20.0,0.2,10,28,0.0076853016030434766
quantile,200,0.2,20.0,0.2,10,28,0.009610725286041876
huber,200,0.2,20.0,0.2,10,28,0.008566316987588581
linear,200,0.2,20.0,0.2,10,29,0.008345260327922894
quantile,200,0.2,20.0,0.2,10,29,0.008266474660600103
huber,200,0.2,20.0,0.2,10,29,0.006745609707355593
linear,200,0.2,inf,0.2,1,0,0.005677637134808797
quantile,200,0.2,inf,0.2,1,0,0.009045370953093504
huber,200,0.2,inf,0.2,1,0,0.006765748455737427
linear,200,0.2,inf,0.2,1,1,0.00851426543735492
quantile,200,0.2,inf,0.2,1,1,0.00861349402539947
huber,200,0.2,inf,0.2,1,1,0.008030419551329965
linear,200,0.2,inf,0.2,1,2,0.007016324008539518
quantile,200,0.2,inf,0.2,1,2,0.009805784466344418
huber,200,0.2,inf,0.2,1,2,0.009180187925933496
linear,200,0.2,inf,0.2,1,3,0.00509453520511924
quantile,200,0.2,inf,0.2,1,3,0.00847219198901095
huber,200,0.2,inf,0.2,1,3,0.006627864490461785
linear,200,0.2,inf,0.2,1,4,0.004755904958878714
quantile,200,0.2,inf,0.2,1,4,0.005931324373512427
huber,200,0.2,inf,0.2,1,4,0.004896204311998884
linear,200,0.2,inf,0.2,1,5,0.0058159191389022145
quantile,200,0.2,inf,0.2,1,5,0.008947123907330145
huber,200,0.2,inf,0.2,1,5,0.0068811595700647415
linear,200,0.2,inf,0.2,1,6,0.0054178217080885945
quantile,200,0.2,inf,0.2,1,6,0.006063168580209518
huber,200,0.2,inf,0.2,1,6,0.005218233814289613
linear,200,0.2,inf,0.2,1,7,0.00966961319132097
quantile,200,0.2,inf,0.2,1,7,0.011940654779671062
huber,200,0.2,inf,0.2,1,7,0.009907105367945179
linear,200,0.2,inf,0.2,1,8,0.006927497398624763
quantile,200,0.2,inf,0.2,1,8,0.008003098544983954
huber,200,0.2,inf,0.2,1,8,0.006878781413673511
linear,200,0.2,inf,0.2,1,9,0.0081490657738769
quantile,200,0.2,inf,0.2,1,9,0.00960103836973892
huber,200,0.2,inf,0.2,1,9,0.008179547772472573
linear,200,0.2,inf,0.2,1,10,0.00452631128268886
quantile,200,0.2,inf,0.2,1,10,0.009898078445073025
huber,200,0.2,inf,0.2,1,10,0.007045557205088729
linear,200,0.2,inf,0.2,1,11,0.004586670798169721
quantile,200,0.2,inf,0.2,1,11,0.006382278645314027
huber,200,0.2,inf,0.2,1,11,0.005910347217678905
linear,200,0.2,inf,0.2,1,12,0.006833170752480996
quantile,200,0.2,inf,0.2,1,12,0.008385549515970269
huber,200,0.2,inf,0.2,1,12,0.006450816955138295
linear,200,0.2,inf,0.2,1,13,0.008068140437886999
quantile,200,0.2,inf,0.2,1,13,0.011717702370068245
huber,200,0.2,inf,0.2,1,13,0.009177693595923884
linear,200,0.2,inf,0.2,1,14,0.008067718421175775
quantile,200,0.2,inf,0.2,1,14,0.012718433044468166
huber,200,0.2,inf,0.2,1,14,0.00987629338026686
linear,200,0.2,inf,0.2,1,15,0.00464279190892872
quantile,200,0.2,inf,0.2,1,15,0.0071518634991526745
huber,200,0.2,inf,0.2,1,15,0.005760116382353918
linear,200,0.2,inf,0.2,1,16,0.007045305789497307
quantile,200,0.2,inf,0.2,1,16,0.009943295455007554
huber,200,0.2,inf,0.2,1,16,0.007933110341694444
linear,200,0.2,inf,0.2,1,17,0.004913263519173514
quantile,200,0.2,inf,0.2,1,17,0.006709949508453781
huber,200,0.2,inf,0.2,1,17,0.0049938512493738684
linear,200,0.2,inf,0.2,1,18,0.006387089062943624
quantile,200,0.2,inf,0.2,1,18,0.009856232620688115
huber,200,0.2,inf,0.2,1,18,0.00732949418656483
linear,200,0.2,inf,0.2,1,19,0.006723499841544234
quantile,200,0.2,inf,0.2,1,19,0.011114109599250268
huber,200,0.2,inf,0.2,1,19,0.009113284831503577
linear,200,0.2,inf,0.2,1,20,0.007408672086153019
quantile,200,0.2,inf,0.2,1,20,0.012049206253111415
huber,200,0.2,inf,0.2,1,20,0.008127527943185442
linear,200,0.2,inf,0.2,1,21,0.0062272658297246805
quantile,200,0.2,inf,0.2,1,21,0.013840011070382277
huber,200,0.2,inf,0.2,1,21,0.008989318553511845
linear,200,0.2,inf,0.2,1,22,0.003965895200914565
quantile,200,0.2,inf,0.2,1,22,0.0038902611676796123
huber,200,0.2,inf,0.2,1,22,0.003514133793234284
linear,200,0.2,inf,0.2,1,23,0.007796036818513918
quantile,200,0.2,inf,0.2,1,23,0.010572696105215999
huber,200,0.2,inf,0.2,1,23,0.009000199318717383
linear,200,0.2,inf,0.2,1,24,0.007379613802894122
quantile,200,0.2,inf,0.2,1,24,0.01005991550558621
huber,200,0.2,inf,0.2,1,24,0.007248832760653178
linear,200,0.2,inf,0.2,1,25,0.005423329111794188
quantile,200,0.2,inf,0.2,1,25,0.009631699726144754
huber,200,0.2,inf,0.2,1,25,0.007699342158281929
linear,200,0.2,inf,0.2,1,26,0.005817294069855308
quantile,200,0.2,inf,0.2,1,26,0.010801329751051105
huber,200,0.2,inf,0.2,1,26,0.00783199558520312
linear,200,0.2,inf,0.2,1,27,0.006673238874283308
quantile,200,0.2,inf,0.2,1,27,0.013726374410009989
huber,200,0.2,inf,0.2,1,27,0.007684245008115269
linear,200,0.2,inf,0.2,1,28,0.0055093729832454965
quantile,200,0.2,inf,0.2,1,28,0.01120838017299955
huber,200,0.2,inf,0.2,1,28,0.00581049574649439
linear,200,0.2,inf,0.2,1,29,0.006038399232866978
quantile,200,0.2,inf,0.2,1,29,0.006770959507992012
huber,200,0.2,inf,0.2,1,29,0.005099220734386062
linear,200,0.2,inf,0.2,5,0,0.007226689141908588
quantile,200,0.2,inf,0.2,5,0,0.013968619418695403
huber,200,0.2,inf,0.2,5,0,0.008803823480946785
linear,200,0.2,inf,0.2,5,1,0.006512738923291267
quantile,200,0.2,inf,0.2,5,1,0.012918111607535481
huber,200,0.2,inf,0.2,5,1,0.007859955209847391
linear,200,0.2,inf,0.2,5,2,0.00813191422190604
quantile,200,0.2,inf,0.2,5,2,0.010135227915542295
huber,200,0.2,inf,0.2,5,2,0.007814880515093239
linear,200,0.2,inf,0.2,5,3,0.010433922111778775
quantile,200,0.2,inf,0.2,5,3,0.013395742860753424
huber,200,0.2,inf,0.2,5,3,0.013428136269785946
linear,200,0.2,inf,0.2,5,4,0.007780108791712276
quantile,200,0.2,inf,0.2,5,4,0.010268063351750551
huber,200,0.2,inf,0.2,5,4,0.009277348503256561
linear,200,0.2,inf,0.2,5,5,0.004444371306103373
quantile,200,0.2,inf,0.2,5,5,0.006159748514449127
huber,200,0.2,inf,0.2,5,5,0.004733136709506011
linear,200,0.2,inf,0.2,5,6,0.0071411037377776335
quantile,200,0.2,inf,0.2,5,6,0.011317440132531515
huber,200,0.2,inf,0.2,5,6,0.007264120988015539
linear,200,0.2,inf,0.2,5,7,0.007918755822415788
quantile,200,0.2,inf,0.2,5,7,0.013433142265695
huber,200,0.2,inf,0.2,5,7,0.01139959795201507
linear,200,0.2,inf,0.2,5,8,0.009435974284341583
quantile,200,0.2,inf,0.2,5,8,0.012540687128302714
huber,200,0.2,inf,0.2,5,8,0.009739080322982704
linear,200,0.2,inf,0.2,5,9,0.010751932030252145
quantile,200,0.2,inf,0.2,5,9,0.01741646779144317
huber,200,0.2,inf,0.2,5,9,0.012008565014044754
linear,200,0.2,inf,0.2,5,10,0.006985122023006543
quantile,200,0.2,inf,0.2,5,10,0.008769147851846746
huber,200,0.2,inf,0.2,5,10,0.006432597580787467
linear,200,0.2,inf,0.2,5,11,0.003916123441136337
quantile,200,0.2,inf,0.2,5,11,0.006018919135043714
huber,200,0.2,inf,0.2,5,11,0.0055413758849437705
linear,200,0.2,inf,0.2,5,12,0.010102556557504454
quantile,200,0.2,inf,0.2,5,12,0.013739149201404588
huber,200,0.2,inf,0.2,5,12,0.0104735534054888
