method,n,ar,df,rho,SNR,rep,mse
huber,200,0.2,1.0,0.2,5,0,0.02849065320534428
linear,200,0.2,1.0,0.2,5,1,1.0454020028884965
quantile,200,0.2,1.0,0.2,5,1,0.035746468489420244
huber,200,0.2,1.0,0.2,5,1,0.03978045229626805
linear,200,0.2,1.0,0.2,5,2,25.468840679186673
quantile,200,0.2,1.0,0.2,5,2,0.03153261423463068
huber,200,0.2,1.0,0.2,5,2,0.02414317750347855
linear,200,0.2,1.0,0.2,5,3,3.385544252857457
quantile,200,0.2,1.0,0.2,5,3,0.04005138912751276
huber,200,0.2,1.0,0.2,5,3,0.04043093065980038
linear,200,0.2,1.0,0.2,5,4,0.3784745731740423
quantile,200,0.2,1.0,0.2,5,4,0.03278262824603602
huber,200,0.2,1.0,0.2,5,4,0.028414672216063273
linear,200,0.2,1.0,0.2,5,5,160.70530000285913
quantile,200,0.2,1.0,0.2,5,5,0.018982411217002882
huber,200,0.2,1.0,0.2,5,5,0.022333289019112516
linear,200,0.2,1.0,0.2,5,6,215.93828658300058
quantile,200,0.2,1.0,0.2,5,6,0.018228468171532054
huber,200,0.2,1.0,0.2,5,6,0.011762567042833096
linear,200,0.2,1.0,0.2,5,7,19.493483368580353
quantile,200,0.2,1.0,0.2,5,7,0.022320466580248968
huber,200,0.2,1.0,0.2,5,7,0.03477865414724767
linear,200,0.2,1.0,0.2,5,8,656.7823653125308
quantile,200,0.2,1.0,0.2,5,8,0.028317775160640303
huber,200,0.2,1.0,0.2,5,8,0.0245484341934528
linear,200,0.2,1.0,0.2,5,9,8.057271365868663
quantile,200,0.2,1.0,0.2,5,9,0.028806804442005708
huber,200,0.2,1.0,0.2,5,9,0.022367928622114015
linear,200,0.2,1.0,0.2,5,10,0.7834099818920462
quantile,200,0.2,1.0,0.2,5,10,0.04717783718739588
huber,200,0.2,1.0,0.2,5,10,0.036579936672137395
linear,200,0.2,1.0,0.2,5,11,1.196047493827746
quantile,200,0.2,1.0,0.2,5,11,0.04938570347927771
huber,200,0.2,1.0,0.2,5,11,0.03251163238146738
linear,200,0.2,1.0,0.2,5,12,0.4737522254593848
quantile,200,0.2,1.0,0.2,5,12,0.036726391902205814
huber,200,0.2,1.0,0.2,5,12,0.029337883278651066
linear,200,0.2,1.0,0.2,5,13,10.788733428373614
quantile,200,0.2,1.0,0.2,5,13,0.03543600838435891
huber,200,0.2,1.0,0.2,5,13,0.040608949450597245
linear,200,0.2,1.0,0.2,5,14,47.3870345665931
quantile,200,0.2,1.0,0.2,5,14,0.023688819321715883
huber,200,0.2,1.0,0.2,5,14,0.02113673753751002
linear,200,0.2,1.0,0.2,5,15,0.634348268045454
quantile,200,0.2,1.0,0.2,5,15,0.023576487987474786
huber,200,0.2,1.0,0.2,5,15,0.02332481484537053
linear,200,0.2,1.0,0.2,5,16,0.5227673001626696
quantile,200,0.2,1.0,0.2,5,16,0.03402646020802569
huber,200,0.2,1.0,0.2,5,16,0.03635480538304353
linear,200,0.2,1.0,0.2,5,17,1.0659097272485483
quantile,200,0.2,1.0,0.2,5,17,0.06593163209679477
huber,200,0.2,1.0,0.2,5,17,0.045136936490453736
linear,200,0.2,1.0,0.2,5,18,0.32575966343058643
quantile,200,0.2,1.0,0.2,5,18,0.021844664540223917
huber,200,0.2,1.0,0.2,5,18,0.014548475263930178
linear,200,0.2,1.0,0.2,5,19,1.597208048007761
quantile,200,0.2,1.0,0.2,5,19,0.030714762515364556
huber,200,0.2,1.0,0.2,5,19,0.024325065537861245
linear,200,0.2,1.0,0.2,5,20,490.80787907837856
quantile,200,0.2,1.0,0.2,5,20,0.04449087929799807
huber,200,0.2,1.0,0.2,5,20,0.05509351546127894
linear,200,0.2,1.0,0.2,5,21,0.3980514292012823
